Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
Convolution,25690112.0,1605632.0,6322176.0,100352.0,0,0,0,128.0,200704.0,200704.0,100352.0,0.5,501888.5,51474304,8192.0,0,0,51482496.0,26306674688.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,57802752.0,3612672.0,14350336.0,100352.0,0,0,0,288.0,451584.0,1605632.0,100352.0,0.5,2157856.5,116028864,6144.0,0,0,116035008.0,59190018048.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,25690112.0,1605632.0,6021120.0,401408.0,0,0,0,128.0,50176.0,802816.0,401408.0,2.0,1254530.0,51756544,25508160.0,0,0,77264704.0,26306674688.0
BatchNorm,0,0.0,0.0,0,9633804.0,0.0,200705.5,0.0,7626774.0,0.0,0.0,0,7626774.0,0,0,51380608.0,244056768.0,295437376.0,822089728.0
ElemAdd,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,6485248,38535168.0,45020416.0,102760448.0
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
Convolution,25690112.0,1605632.0,6322176.0,100352.0,0,0,0,128.0,200704.0,200704.0,100352.0,0.5,501888.5,51474304,8192.0,0,0,51482496.0,26306674688.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,57802752.0,3612672.0,14350336.0,100352.0,0,0,0,288.0,451584.0,1605632.0,100352.0,0.5,2157856.5,116028864,6144.0,0,0,116035008.0,59190018048.0
BatchNorm,0,0.0,0.0,0,2408451.0,0.0,50176.375,0.0,1906693.5,0.0,0.0,0,1906693.5,0,0,12845152.0,61014192.0,73859344.0,205522432.0
ReLU,0,0.0,0.0,0,150528.0,100352.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1623552,4816896.0,6440448.0,25690112.0
Convolution,25690112.0,1605632.0,6021120.0,401408.0,0,0,0,128.0,50176.0,802816.0,401408.0,2.0,1254530.0,51756544,25508160.0,0,0,77264704.0,26306674688.0
BatchNorm,0,0.0,0.0,0,9633804.0,0.0,200705.5,0.0,7626774.0,0.0,0.0,0,7626774.0,0,0,51380608.0,244056768.0,295437376.0,822089728.0
ElemAdd,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,6485248,38535168.0,45020416.0,102760448.0
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
Convolution,51380224.0,3211264.0,12644352.0,200704.0,0,0,0,256.0,200704.0,1204224.0,200704.0,1.0,1605889.0,103136768,6176.0,0,0,103142944.0,52613349376.0
BatchNorm,0,0.0,0.0,0,4816902.0,0.0,100352.75,0.0,3813387.0,0.0,0.0,0,3813387.0,0,0,25690304.0,122028384.0,147718688.0,411044864.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,57802752.0,3612672.0,14400512.0,50176.0,0,0,0,1152.0,225792.0,1705984.0,50176.0,1.0,1983105.0,116028864,6176.0,0,0,116035040.0,59190018048.0
BatchNorm,0,0.0,0.0,0,1204230.0,0.0,25088.75,0.0,953355.0,0.0,0.0,0,953355.0,0,0,6422720.0,30507360.0,36930080.0,102763520.0
ReLU,0,0.0,0.0,0,75264.0,50176.0,3136.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,813056,2408448.0,3221504.0,12845056.0
Convolution,25690112.0,1605632.0,6221824.0,200704.0,0,0,0,512.0,25088.0,2809856.0,200704.0,4.0,3036164.0,52132864,140547230.0,0,0,192680094.0,26306674688.0
BatchNorm,0,0.0,0.0,0,4816920.0,0.0,100355.0,0.0,3813420.0,0.0,0.0,0,3813420.0,0,0,25690880.0,122029440.0,147720320.0,411054080.0
Convolution,51380224.0,3211264.0,12644352.0,200704.0,0,0,0,1024.0,50176.0,6021120.0,200704.0,4.0,6273028.0,104265728,293935262.0,0,0,398200990.0,52613349376.0
BatchNorm,0,0.0,0.0,0,4816920.0,0.0,100355.0,0.0,3813420.0,0.0,0.0,0,3813420.0,0,0,25690880.0,122029440.0,147720320.0,411054080.0
ElemAdd,0,0.0,0.0,0,602112.0,0.0,12544.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,3242624,19267584.0,22510208.0,51380224.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3252224,9633792.0,12886016.0,51380224.0
Convolution,25690112.0,1605632.0,6372352.0,50176.0,0,0,0,512.0,100352.0,702464.0,50176.0,1.0,853505.0,51568384,6176.0,0,0,51574560.0,26306674688.0
BatchNorm,0,0.0,0.0,0,1204230.0,0.0,25088.75,0.0,953355.0,0.0,0.0,0,953355.0,0,0,6422720.0,30507360.0,36930080.0,102763520.0
ReLU,0,0.0,0.0,0,75264.0,50176.0,3136.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,813056,2408448.0,3221504.0,12845056.0
Convolution,57802752.0,3612672.0,14400512.0,50176.0,0,0,0,1152.0,225792.0,1705984.0,50176.0,1.0,1983105.0,116028864,6176.0,0,0,116035040.0,59190018048.0
BatchNorm,0,0.0,0.0,0,1204230.0,0.0,25088.75,0.0,953355.0,0.0,0.0,0,953355.0,0,0,6422720.0,30507360.0,36930080.0,102763520.0
ReLU,0,0.0,0.0,0,75264.0,50176.0,3136.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,813056,2408448.0,3221504.0,12845056.0
Convolution,25690112.0,1605632.0,6221824.0,200704.0,0,0,0,512.0,25088.0,2809856.0,200704.0,4.0,3036164.0,52132864,140547230.0,0,0,192680094.0,26306674688.0
BatchNorm,0,0.0,0.0,0,4816920.0,0.0,100355.0,0.0,3813420.0,0.0,0.0,0,3813420.0,0,0,25690880.0,122029440.0,147720320.0,411054080.0
