Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
ElemAdd,0,0.0,0.0,0,2352.0,0.0,49.0,0.0,1568.0,0.0,784.0,0,2352.0,0,0,12684,150528.0,163212.0,200704.0
ReLU,0,0.0,0.0,0,882.0,392.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,24892.0,196.0,0,0,0,128.0,392.0,392.0,196.0,1.0,1109.0,202384,2528.0,0,0,204912.0,102760448.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,56448.0,3528.0,56252.0,196.0,0,0,0,288.0,882.0,3136.0,196.0,1.0,4503.0,459144,1504.0,0,0,460648.0,231211008.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,128.0,392.0,0.0,784.0,4.0,1308.0,204064,1504.0,0,0,205568.0,102760448.0
ElemAdd,0,0.0,0.0,0,2352.0,0.0,49.0,0.0,1568.0,0.0,784.0,0,2352.0,0,0,12684,150528.0,163212.0,200704.0
ReLU,0,0.0,0.0,0,882.0,392.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,24892.0,196.0,0,0,0,128.0,392.0,392.0,196.0,1.0,1109.0,202384,2528.0,0,0,204912.0,102760448.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,56448.0,3528.0,56252.0,196.0,0,0,0,288.0,882.0,3136.0,196.0,1.0,4503.0,459144,1504.0,0,0,460648.0,231211008.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,128.0,392.0,0.0,784.0,4.0,1308.0,204064,1504.0,0,0,205568.0,102760448.0
ElemAdd,0,0.0,0.0,0,2352.0,0.0,49.0,0.0,1568.0,0.0,784.0,0,2352.0,0,0,12684,150528.0,163212.0,200704.0
ReLU,0,0.0,0.0,0,882.0,392.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,24892.0,196.0,0,0,0,128.0,392.0,392.0,196.0,1.0,1109.0,202384,2528.0,0,0,204912.0,102760448.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
Convolution,56448.0,3528.0,56252.0,196.0,0,0,0,288.0,882.0,3136.0,196.0,1.0,4503.0,459144,1504.0,0,0,460648.0,231211008.0
ReLU,0,0.0,0.0,0,220.5,98.0,12.25,0.0,196.0,0.0,24.5,0,220.5,0,0,3176,14112.0,17288.0,50176.0
