Layer name,WBUF access,IBUF access,OBUF access,BBUF access,VMEM access,IMM access,InsMem access,DRAM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
MeanIstd,0,0.0,0.0,0,451616.0,4.0,9408.75,0.0,50176.0,0.0,4.0,0,50180.0,0,0,4035584,1605760.0,5641344.0,38547456.0
BatchNorm,0,0.0,0.0,0,602112.0,0.0,12544.0,0.0,50184.0,0.0,50176.0,0,100360.0,0,0,8048640,3211520.0,11260160.0,51380224.0
ElemAdd,0,0.0,0.0,0,150528.0,0.0,3136.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,823296,4816896.0,5640192.0,12845056.0
ReLU,0,0.0,0.0,0,75264.0,3136.0,3136.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,823296,2408448.0,3231744.0,12845056.0
Convolution,3211264.0,200704.0,790272.0,12544.0,0,0,0,128.0,100352.0,0.0,12544.0,0.5,113024.5,6516608,2304.0,0,0,6518912.0,3288334336.0
MeanIstd,0,0.0,0.0,0,112904.0,1.0,2352.1875,0.0,12544.0,0.0,1.0,0,12545.0,0,0,1008896,401440.0,1410336.0,9636864.0
BatchNorm,0,0.0,0.0,0,150528.0,0.0,3136.0,0.0,12546.0,0.0,12544.0,0,25090.0,0,0,2012160,802880.0,2815040.0,12845056.0
ReLU,0,0.0,0.0,0,18816.0,784.0,784.0,0.0,12544.0,0.0,6272.0,0,18816.0,0,0,205824,602112.0,807936.0,3211264.0
Convolution,7225344.0,451584.0,3148544.0,12544.0,0,0,0,288.0,82944.0,25088.0,12544.0,0.5,120864.5,14591123,1330.0,0,0,14592453.0,7398752256.0
MeanIstd,0,0.0,0.0,0,112904.0,1.0,2352.1875,0.0,12544.0,0.0,1.0,0,12545.0,0,0,1008896,401440.0,1410336.0,9636864.0
BatchNorm,0,0.0,0.0,0,150528.0,0.0,3136.0,0.0,12546.0,0.0,12544.0,0,25090.0,0,0,2012160,802880.0,2815040.0,12845056.0
